#Material,IP1,EA1,homo1,lumo1,IP2,EA2,homo2,lumo2,r_s1,r_p1,r_d1,atomicRadius1,r_val1,r_cov1,r_s2,r_p2,r_d2,atomicRadius2,r_val2,r_cov2,Z1,Z2,electronegativity1,electronegativity2,polarizability1,polarizability2,polariz_new1,polariz_new2,column1,Nunfilled1,valence1,column_up181,column2,Nunfilled2,valence2,column_up182,Odd,Occ1,Occ2,orb1,orb2,Gap
Li-Tl,-5.3606,-0.5863,-2.8744,-0.9074,-5.1215,0.0916,-2.3692,2.6329,1.6578,1.8874,2.0869,1.34,1.6578,1.28,1.0974,1.5446,0.5904,1.48,1.5446,1.45,3,81,0.98,2.04,24.335,7.55,164,51.6,1,1,1,1,3,5,27,13,1,1,1,0.5,0.16666667,0.062253
Li-In,-5.3606,-0.5863,-2.8744,-0.9074,-5.3158,-0.0113,-2.5181,2.6968,1.6578,1.8874,2.0869,1.34,1.6578,1.28,1.1407,1.5133,0.4929,1.44,1.5133,1.42,3,49,0.98,1.78,24.335,9.65,164,62,1,1,1,1,3,5,13,13,1,1,1,0.5,0.16666667,0.067237
K-Cs,-4.3142,-0.4514,-2.3189,-0.404,-3.8463,-0.5091,-2.0859,-0.2279,2.2049,0.9378,0.9378,1.96,2.2049,2.03,2.5357,2.7555,1.8065,2.25,2.5357,2.44,19,55,0.82,0.79,43.23,59.42,290.6,399.9,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.078809
Li-Na,-5.3606,-0.5863,-2.8744,-0.9074,-5.1426,-0.6355,-0.2186,0.9747,1.6578,1.8874,2.0869,1.34,1.6578,1.28,1.7586,2.2172,8.6288,1.54,1.7586,1.66,3,11,0.98,0.93,24.335,24.11,164,162.7,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.097558
Li-B,-5.3606,-0.5863,-2.8744,-0.9074,-8.1261,0.0312,-3.6067,2.4547,1.6578,1.8874,2.0869,1.34,1.6578,1.28,0.8025,0.8348,1.3619,0.82,0.8348,0.84,3,5,0.98,2.04,24.335,3.03,164,20.53,1,1,1,1,3,5,3,13,1,1,1,0.5,0.16666667,0.098736
Be-Sr,-9.5007,0.7972,-5.6097,-2.0104,-5.8607,0.9177,-3.5253,-1.1102,1.0805,1.2128,1.9594,0.9,1.0805,0.96,1.9583,2.2671,1.0556,1.92,1.9583,1.95,4,38,1.57,0.95,5.6,25.55,37.71,197.2,2,0,2,2,2,0,2,2,1,2,2,1,1,0.106945
Li-Al,-5.3606,-0.5863,-2.8744,-0.9074,-5.7176,0.0364,-2.712,3.1169,1.6578,1.8874,2.0869,1.34,1.6578,1.28,1.1043,1.3965,1.7101,1.18,1.3965,1.21,3,13,0.98,1.61,24.335,6.8,164,55.4,1,1,1,1,3,5,3,13,1,1,1,0.5,0.16666667,0.114244
Ca-Ca,-6.2818,1.2046,-3.7676,-1.9349,-6.2818,1.2046,-3.7676,-1.9349,1.7988,2.0269,0.695,1.74,1.7988,1.76,1.7988,2.0269,0.695,1.74,1.7988,1.76,20,20,1,1,25.733,25.733,160.77,160.77,2,0,2,2,2,0,2,2,1,2,2,1,1,0.128727
Be-Mg,-9.5007,0.7972,-5.6097,-2.0104,-7.9325,1.5388,-4.7054,-1.0945,1.0805,1.2128,1.9594,0.9,1.0805,0.96,1.3518,1.6131,1.9324,1.3,1.3518,1.41,4,12,1.57,1.31,5.6,10.767,37.71,70.89,2,0,2,2,2,0,2,2,1,2,2,1,1,0.14442
Mg-Ca,-7.9325,1.5388,-4.7054,-1.0945,-6.2818,1.2046,-3.7676,-1.9349,1.3518,1.6131,1.9324,1.3,1.3518,1.41,1.7988,2.0269,0.695,1.74,1.7988,1.76,12,20,1.31,1,10.767,25.733,70.89,160.77,2,0,2,2,2,0,2,2,1,2,2,1,1,0.162251
